reference_number,vendor,customer_name,street_address,contact_phone,postcode_region,commissioning_date,connectivity,service_tier,last_service_visit,vendor_canonical,reference_status,reference_canonical,unit_id,reference_resolution,connectivity_conflict
02346,C,Gerhard Hillebrand,Im Winkel 35b,redacted,90,2024-07-23,connected,free,,C,digits_only,TH-02346,TH-02346,resolved,False
TH-02347,C,Elke Ahrens,Im Winkel 72,redacted,81,2025-04-02,connected,free,2024-07-22,C,canonical,TH-02347,TH-02347,resolved,False
TH-02348,oem c,Rainer Gebhardt,Nordring 114a,redacted,30,29.10.2024,connected,free,2025-10-29,C,canonical,TH-02348,TH-02348,resolved,False
th-02349,OEM_C ,Heike Kortmann,Dorfstraße 133,redacted,90,19.04.2025,not_connected,optimize,2025-10-05,C,canonical,TH-02349,TH-02349,resolved,False
TH-02350,oem c,Jörg Weinhold,Birkenallee 95,redacted,70,2023-06-11,not_connected,optimize,2026-04-10,C,canonical,TH-02350,TH-02350,resolved,False
TH 02351,oem c,Wiebke Ebeling,Lindenhof 3,redacted,44,22.12.2024,connected,optimize,2025-09-16,C,format_variant,TH-02351,TH-02351,resolved,False
TH-02352,OEM_C,Eva Grabowski,Erlenring 111a,redacted,4,06.01.2026,connected,free,,C,canonical,TH-02352,TH-02352,resolved,False
TH-02353,OEM_C ,Andreas Lindemann,Rosenkamp 112,redacted,60,07.08.2024,not_connected,care,2025-03-12,C,canonical,TH-02353,TH-02353,resolved,False
TH 02354,oem c,Claudia Möllenkamp,Hauptstraße 18,redacted,10,2025-04-29,connected,free,2024-09-10,C,format_variant,TH-02354,TH-02354,resolved,False
th-02355,OEM_C ,Ulrike Grabowski,Feldmark 37,redacted,20,23.04.2024,connected,free,2025-12-08,C,canonical,TH-02355,TH-02355,resolved,False
TH-02356,C,Eva Bartels,Schulstraße 91,redacted,4,13.04.2024,not_connected,care_plus,,C,canonical,TH-02356,TH-02356,resolved,False
th-02357,C,Bettina Lindemann,Kirchweg 66,redacted,20,2023-09-15,connected,optimize,2025-03-14,C,canonical,TH-02357,TH-02357,resolved,False
TH-02358-1,OEM_C ,Claudia Brinkmann,Hauptstraße 14,redacted,22,2024-12-26,connected,optimize,,C,suffix_variant,,TH-02358,telemetry_confirmed_suffix,False
th-02359,C,Dagmar Thiemann,Buchenkamp 112a,redacted,80,16.10.2025,connected,free,,C,canonical,TH-02359,TH-02359,resolved,False
02360,C,Dagmar Kortmann,Rosenkamp 26,redacted,20,11.12.2024,connected,optimize,,C,digits_only,TH-02360,TH-02360,resolved,False
th-02361,OEM_C ,Holger Ebeling,Erlenring 93b,redacted,13,2025-03-17,connected,free,,C,canonical,TH-02361,TH-02361,resolved,False
TH-02362,OEM_C,Dagmar Lindemann,Rosenkamp 67,redacted,12,26.09.2024,not_connected,optimize,2026-01-22,C,canonical,TH-02362,TH-02362,resolved,False
th-02363,OEM_C,Christoph Gebhardt,Tannenweg 126b,redacted,90,09.12.2025,connected,free,2025-03-17,C,canonical,TH-02363,TH-02363,resolved,False
TH-02364,OEM_C,Frank Möllenkamp,Waldsaum 139a,redacted,81,13.06.2024,not_connected,free,2025-04-30,C,canonical,TH-02364,TH-02364,resolved,False
TH-02365,OEM_C,Ingrid Oberkamp,Quellenstraße 32a,redacted,13,2024-05-15,connected,optimize,,C,canonical,TH-02365,TH-02365,resolved,False
TH-02366,OEM_C,Andreas Fährmann,Uferstraße 11,redacted,90,2023-10-13,connected,free,2025-08-06,C,canonical,TH-02366,TH-02366,resolved,False
TH-02367,OEM_C,Jörg Hillebrand,Mühlenstraße 131,redacted,10,2023-02-23,connected,free,,C,canonical,TH-02367,TH-02367,resolved,False
TH-02368,OEM_C,Sabine Gebhardt,Tannenweg 99b,redacted,50,2025-02-17,unknown,free,2025-04-15,C,canonical,TH-02368,TH-02368,resolved,False
  TH-02369 ,C,Petra Fährmann,Gartenstraße 128a,redacted,4,2025-09-16,not_connected,optimize,,C,canonical,TH-02369,TH-02369,resolved,False
TH-02370,OEM_C,Katrin Kortmann,Pappelweg 32,redacted,60,2025-02-02,not_connected,free,2026-01-31,C,canonical,TH-02370,TH-02370,resolved,False
TH-02371,OEM_C ,Ulrike Bartels,Lindenhof 101,redacted,10,2023-05-24,connected,care,,C,canonical,TH-02371,TH-02371,resolved,False
TH-02372,OEM_C ,Jörg Hillebrand,Kirchweg 78b,redacted,13,2025-10-17,unknown,care,2024-10-19,C,canonical,TH-02372,TH-02372,resolved,False
  TH-02373 ,C,Christoph Ebeling,Tannenweg 14,redacted,13,19.10.2025,not_connected,optimize,2025-07-28,C,canonical,TH-02373,TH-02373,resolved,False
TH-02374,oem c,Katrin Uhlig,Lindenhof 148,redacted,44,2025-09-03,connected,free,2026-02-03,C,canonical,TH-02374,TH-02374,resolved,False
TH-02375-1,oem c,Frank Hillebrand,Ostpreußenweg 45,redacted,10,2025-10-23,connected,free,2025-03-14,C,suffix_variant,,TH-02375,telemetry_confirmed_suffix,False
TH 02376,OEM_C,Bettina Uhlig,Birkenallee 1,redacted,22,2023-02-05,not_connected,optimize,2026-01-11,C,format_variant,TH-02376,TH-02376,resolved,False
TH-02377,C,Andreas Oestreich,Pappelweg 67b,redacted,10,2023-02-26,connected,free,2026-05-12,C,canonical,TH-02377,TH-02377,resolved,False
TH-02378,OEM_C ,Lothar Gebhardt,Schulstraße 58,redacted,30,2024-05-18,not_connected,care,,C,canonical,TH-02378,TH-02378,resolved,False
  TH-02379 ,C,Holger Kaminski,Tannenweg 71b,redacted,80,2025-02-27,connected,free,,C,canonical,TH-02379,TH-02379,resolved,False
TH-02380,OEM_C,Holger Dettmer,Lindenhof 14,redacted,60,2025-03-04,connected,free,2024-11-09,C,canonical,TH-02380,TH-02380,resolved,False
TH-02381,OEM_C ,Claudia Brinkmann,Buchenkamp 13b,redacted,60,23.11.2025,connected,optimize,2025-02-07,C,canonical,TH-02381,TH-02381,resolved,False
TH-02382,OEM_C,Manuela Fährmann,Hauptstraße 139a,redacted,22,2025-01-02,not_connected,care_plus,,C,canonical,TH-02382,TH-02382,resolved,False
TH-02383,OEM_C ,Christoph Vollmer,Hauptstraße 90,redacted,90,10.11.2025,connected,free,2025-10-22,C,canonical,TH-02383,TH-02383,resolved,False
02384,OEM_C ,Jörg Uhlig,Ostpreußenweg 33,redacted,70,2024-06-21,connected,care,,C,digits_only,TH-02384,TH-02384,resolved,False
th-02385,C,Manuela Gebhardt,Pappelweg 79,redacted,40,2025-09-13,connected,care,2025-04-09,C,canonical,TH-02385,TH-02385,resolved,False
TH-02386,oem c,Petra Oberkamp,Im Winkel 90,redacted,44,2025-06-02,not_connected,free,2026-03-27,C,canonical,TH-02386,TH-02386,resolved,False
02387,oem c,Heike Vollmer,Uferstraße 134,redacted,13,2024-04-10,connected,care,2026-01-10,C,digits_only,TH-02387,TH-02387,resolved,False
TH 02388,oem c,Claudia Radtke,Waldsaum 142,redacted,40,2023-05-23,connected,optimize,2024-07-15,C,format_variant,TH-02388,TH-02388,resolved,False
TH-02389-1,OEM_C ,Lothar Gebhardt,Tannenweg 144,redacted,50,2023-10-10,connected,care,2024-08-23,C,suffix_variant,,TH-02389,telemetry_confirmed_suffix,False
TH-02390,oem c,Heike Zschiesche,Im Winkel 113a,redacted,70,01.07.2025,not_connected,care_plus,2025-10-21,C,canonical,TH-02390,TH-02390,resolved,False
  TH-02391 ,OEM_C,Jens Kortmann,Kirchweg 92,redacted,81,13.10.2024,not_connected,care,2026-03-30,C,canonical,TH-02391,TH-02391,resolved,False
TH-02392,oem c,Ingrid Fährmann,Kirchweg 25,redacted,4,2024-03-28,not_connected,care_plus,,C,canonical,TH-02392,TH-02392,resolved,False
TH 02393,OEM_C ,Bettina Kortmann,Ostpreußenweg 50,redacted,20,2024-05-14,connected,care_plus,2024-11-09,C,format_variant,TH-02393,TH-02393,resolved,False
TH 02394,C,Heike Dettmer,Nordring 46,redacted,22,23.10.2023,unknown,care,2025-08-20,C,format_variant,TH-02394,TH-02394,resolved,False
TH-02395,C,Dagmar Pfefferle,Uferstraße 118,redacted,81,22.05.2024,connected,optimize,,C,canonical,TH-02395,TH-02395,resolved,False
TH-02396-1,C,Bettina Ahrens,Schulstraße 127a,redacted,60,25.11.2025,connected,optimize,2026-01-03,C,suffix_variant,,TH-02396,telemetry_confirmed_suffix,False
th-02397,OEM_C ,Thorsten Zschiesche,Uferstraße 56,redacted,70,2025-07-18,connected,free,,C,canonical,TH-02397,TH-02397,resolved,False
TH-02398,oem c,Dagmar Bartels,Lindenhof 126a,redacted,90,2025-05-15,connected,care_plus,,C,canonical,TH-02398,TH-02398,resolved,False
02399,OEM_C,Holger Uhlig,Kirchweg 62b,redacted,80,18.03.2024,connected,optimize,2025-01-03,C,digits_only,TH-02399,TH-02399,resolved,False
TH-02400,C,Ingrid Grabowski,Lindenhof 101,redacted,12,2023-07-06,connected,care,2024-12-28,C,canonical,TH-02400,TH-02400,resolved,False
